Starting data collection...
Saved - Temp: 78.1F  Humidity: 57.0%  Air Quality: 0.30V
Saved - Temp: 78.1F  Humidity: 56.7%  Air Quality: 0.30V
Saved - Temp: 78.1F  Humidity: 56.6%  Air Quality: 0.30V
Saved - Temp: 77.9F  Humidity: 56.6%  Air Quality: 0.30V
Saved - Temp: 78.1F  Humidity: 56.8%  Air Quality: 0.30V
Saved - Temp: 78.1F  Humidity: 56.9%  Air Quality: 0.30V
Saved - Temp: 78.3F  Humidity: 57.0%  Air Quality: 0.30V
Saved - Temp: 78.3F  Humidity: 57.0%  Air Quality: 0.30V
Saved - Temp: 78.4F  Humidity: 57.1%  Air Quality: 0.30V
Saved - Temp: 78.6F  Humidity: 57.1%  Air Quality: 0.30V
Saved - Temp: 78.6F  Humidity: 57.1%  Air Quality: 0.31V
Saved - Temp: 78.8F  Humidity: 57.1%  Air Quality: 0.31V
Saved - Temp: 78.8F  Humidity: 57.2%  Air Quality: 0.31V
Saved - Temp: 79.0F  Humidity: 57.2%  Air Quality: 0.31V
Saved - Temp: 79.0F  Humidity: 57.2%  Air Quality: 0.31V
Saved - Temp: 79.0F  Humidity: 57.2%  Air Quality: 0.31V
Saved - Temp: 79.2F  Humidity: 57.2%  Air Quality: 0.31V
Saved - Temp: 79.2F  Humidity: 57.2%  Air Quality: 0.31V
Saved - Temp: 79.3F  Humidity: 57.2%  Air Quality: 0.31V
Saved - Temp: 79.3F  Humidity: 57.3%  Air Quality: 0.31V
Saved - Temp: 79.3F  Humidity: 57.2%  Air Quality: 0.31V
Saved - Temp: 79.3F  Humidity: 57.3%  Air Quality: 0.31V
Saved - Temp: 79.5F  Humidity: 57.4%  Air Quality: 0.31V
Saved - Temp: 79.5F  Humidity: 57.3%  Air Quality: 0.31V
Saved - Temp: 79.5F  Humidity: 57.4%  Air Quality: 0.31V
Saved - Temp: 79.5F  Humidity: 57.4%  Air Quality: 0.32V
Saved - Temp: 79.7F  Humidity: 57.4%  Air Quality: 0.32V
Saved - Temp: 79.7F  Humidity: 57.4%  Air Quality: 0.32V
Saved - Temp: 79.7F  Humidity: 57.4%  Air Quality: 0.32V
Saved - Temp: 79.7F  Humidity: 57.5%  Air Quality: 0.32V
Saved - Temp: 79.7F  Humidity: 57.5%  Air Quality: 0.32V
Saved - Temp: 79.9F  Humidity: 57.6%  Air Quality: 0.32V
Saved - Temp: 79.9F  Humidity: 57.5%  Air Quality: 0.32V
Saved - Temp: 79.9F  Humidity: 57.5%  Air Quality: 0.32V
Saved - Temp: 79.9F  Humidity: 57.6%  Air Quality: 0.32V
Saved - Temp: 79.9F  Humidity: 57.6%  Air Quality: 0.32V
Saved - Temp: 80.1F  Humidity: 57.6%  Air Quality: 0.32V
Saved - Temp: 80.1F  Humidity: 57.6%  Air Quality: 0.32V
Saved - Temp: 80.1F  Humidity: 57.6%  Air Quality: 0.32V
Saved - Temp: 80.1F  Humidity: 57.6%  Air Quality: 0.32V
Saved - Temp: 80.1F  Humidity: 57.6%  Air Quality: 0.32V
Saved - Temp: 80.1F  Humidity: 57.6%  Air Quality: 0.32V
Saved - Temp: 80.1F  Humidity: 57.6%  Air Quality: 0.32V
Saved - Temp: 80.1F  Humidity: 57.4%  Air Quality: 0.31V
Saved - Temp: 80.1F  Humidity: 57.1%  Air Quality: 0.31V
Saved - Temp: 79.9F  Humidity: 56.8%  Air Quality: 0.31V
Saved - Temp: 79.9F  Humidity: 56.6%  Air Quality: 0.31V
Saved - Temp: 79.7F  Humidity: 56.3%  Air Quality: 0.30V
Saved - Temp: 79.5F  Humidity: 56.1%  Air Quality: 0.30V
Saved - Temp: 79.5F  Humidity: 55.8%  Air Quality: 0.30V
Saved - Temp: 79.3F  Humidity: 55.6%  Air Quality: 0.30V
Saved - Temp: 79.2F  Humidity: 55.3%  Air Quality: 0.30V
Saved - Temp: 79.2F  Humidity: 55.0%  Air Quality: 0.30V
Saved - Temp: 79.0F  Humidity: 54.8%  Air Quality: 0.30V
Saved - Temp: 79.0F  Humidity: 54.6%  Air Quality: 0.30V
Saved - Temp: 78.8F  Humidity: 54.4%  Air Quality: 0.30V
Saved - Temp: 78.8F  Humidity: 54.2%  Air Quality: 0.29V
Saved - Temp: 78.6F  Humidity: 54.0%  Air Quality: 0.29V
Saved - Temp: 78.6F  Humidity: 53.9%  Air Quality: 0.29V
Saved - Temp: 78.4F  Humidity: 53.7%  Air Quality: 0.29V
Saved - Temp: 78.4F  Humidity: 53.4%  Air Quality: 0.29V
Saved - Temp: 78.4F  Humidity: 53.4%  Air Quality: 0.29V
Saved - Temp: 78.3F  Humidity: 53.3%  Air Quality: 0.29V
